 Name                                      Version       License                                                          
 isoduration                               20.11.0       ISC License (ISCL)                                               
 shellingham                               1.5.4         ISC License (ISCL)                                               
 psycopg                                   3.3.2         LGPL-3.0-only                                                    
 psycopg-binary                            3.3.2         LGPL-3.0-only                                                    
 RapidFuzz                                 3.14.3        MIT                                                              
 SQLAlchemy                                2.0.45        MIT                                                              
 alembic                                   1.17.2        MIT                                                              
 annotated-doc                             0.0.4         MIT                                                              
 anyio                                     4.12.0        MIT                                                              
 attrs                                     25.4.0        MIT                                                              
 brotli                                    1.2.0         MIT                                                              
 build                                     1.4.0         MIT                                                              
 cachetools                                6.2.5         MIT                                                              
 cffi                                      2.0.0         MIT                                                              
 charset-normalizer                        3.4.4         MIT                                                              
 click-repl                                0.3.0         MIT                                                              
 comtypes                                  1.4.16        MIT                                                              
 durationpy                                0.10          MIT                                                              
 ecdsa                                     0.19.1        MIT                                                              
 execnet                                   2.1.2         MIT                                                              
 fastapi                                   0.128.0       MIT                                                              
 flask-cors                                6.0.2         MIT                                                              
 fonttools                                 4.61.1        MIT                                                              
 gevent                                    25.9.1        MIT                                                              
 geventhttpclient                          2.3.9         MIT                                                              
 harfile                                   0.4.0         MIT                                                              
 hijri-converter                           2.3.2.post1   MIT                                                              
 httptools                                 0.7.1         MIT                                                              
 httpx-sse                                 0.4.3         MIT                                                              
 hypothesis-graphql                        0.11.1        MIT                                                              
 iniconfig                                 2.3.0         MIT                                                              
 jsonschema                                4.26.0        MIT                                                              
 jsonschema-specifications                 2025.9.1      MIT                                                              
 langchain-classic                         1.0.1         MIT                                                              
 langchain-community                       0.4.1         MIT                                                              
 langchain-core                            1.2.7         MIT                                                              
 langchain-ollama                          1.0.1         MIT                                                              
 langchain-text-splitters                  1.1.0         MIT                                                              
 langgraph                                 1.0.5         MIT                                                              
 langgraph-checkpoint                      3.0.1         MIT                                                              
 langgraph-prebuilt                        1.0.5         MIT                                                              
 langgraph-sdk                             0.3.2         MIT                                                              
 langsmith                                 0.6.2         MIT                                                              
 limits                                    5.6.0         MIT                                                              
 mypy_extensions                           1.1.0         MIT                                                              
 ollama                                    0.6.1         MIT                                                              
 pdfminer.six                              20251230      MIT                                                              
 pip-requirements-parser                   32.0.1        MIT                                                              
 pipdeptree                                2.35.3        MIT                                                              
 platformdirs                              4.9.6         MIT                                                              
 pydantic                                  2.12.5        MIT                                                              
 pydantic-settings                         2.12.0        MIT                                                              
 pydantic_core                             2.41.5        MIT                                                              
 pyparsing                                 3.3.1         MIT                                                              
 pyright                                   1.1.408       MIT                                                              
 pytest-cov                                7.0.0         MIT                                                              
 pytest-xdist                              3.8.0         MIT                                                              
 python-engineio                           4.13.1        MIT                                                              
 python-socketio                           5.16.1        MIT                                                              
 redis                                     6.4.0         MIT                                                              
 referencing                               0.37.0        MIT                                                              
 rpds-py                                   0.30.0        MIT                                                              
 safety                                    3.7.0         MIT                                                              
 schemathesis                              3.36.3        MIT                                                              
 soupsieve                                 2.8.1         MIT                                                              
 tabulate                                  0.10.0        MIT                                                              
 tomli                                     2.4.0         MIT                                                              
 typer                                     0.21.1        MIT                                                              
 typing-inspection                         0.4.2         MIT                                                              
 urllib3                                   2.6.2         MIT                                                              
 wsproto                                   1.3.2         MIT                                                              
 zipp                                      3.23.0        MIT                                                              
 greenlet                                  3.3.0         MIT AND Python-2.0                                               
 APScheduler                               3.11.2        MIT License                                                      
 ConfigArgParse                            1.7.5         MIT License                                                      
 Deprecated                                1.3.1         MIT License                                                      
 Flask-Login                               0.6.3         MIT License                                                      
 Mako                                      1.3.10        MIT License                                                      
 PyJWT                                     2.10.1        MIT License                                                      
 PyYAML                                    6.0.3         MIT License                                                      
 PyYAML-ft                                 8.0.0         MIT License                                                      
 aiosqlite                                 0.22.1        MIT License                                                      
 annotated-types                           0.7.0         MIT License                                                      
 anthropic                                 0.75.0        MIT License                                                      
 backoff                                   2.2.1         MIT License                                                      
 beautifulsoup4                            4.14.3        MIT License                                                      
 blinker                                   1.9.0         MIT License                                                      
 click-didyoumean                          0.3.1         MIT License                                                      
 coloredlogs                               15.0.1        MIT License                                                      
 dataclasses-json                          0.6.7         MIT License                                                      
 diffprivlib                               0.6.6         MIT License                                                      
 docstring_parser                          0.17.0        MIT License                                                      
 dparse                                    0.6.4         MIT License                                                      
 fsrs                                      6.3.1         MIT License                                                      
 gTTS                                      2.5.4         MIT License                                                      
 git-filter-repo                           2.47.0        MIT License                                                      
 graphql-core                              3.2.7         MIT License                                                      
 h11                                       0.16.0        MIT License                                                      
 hijridate                                 2.3.0         MIT License                                                      
 http_ece                                  1.2.1         MIT License                                                      
 httplib2                                  0.31.0        MIT License                                                      
 humanfriendly                             10.0          MIT License                                                      
 interrogate                               1.7.0         MIT License                                                      
 jiter                                     0.12.0        MIT License                                                      
 libcst                                    1.8.6         MIT License                                                      
 librt                                     0.7.8         MIT License                                                      
 linkify-it-py                             2.1.0         MIT License                                                      
 locust                                    2.44.0        MIT License                                                      
 mando                                     0.7.1         MIT License                                                      
 markdown-it-py                            4.0.0         MIT License                                                      
 marshmallow                               3.26.2        MIT License                                                      
 mcp                                       1.25.0        MIT License                                                      
 mdit-py-plugins                           0.6.1         MIT License                                                      
 mdurl                                     0.1.2         MIT License                                                      
 mmh3                                      5.2.0         MIT License                                                      
 mypy                                      1.19.1        MIT License                                                      
 onnxruntime                               1.23.2        MIT License                                                      
 packageurl-python                         0.17.6        MIT License                                                      
 pdf2image                                 1.17.0        MIT License                                                      
 pdfplumber                                0.11.9        MIT License                                                      
 pluggy                                    1.6.0         MIT License                                                      
 polars                                    1.38.1        MIT License                                                      
 polars-runtime-32                         1.38.1        MIT License                                                      
 posthog                                   5.4.0         MIT License                                                      
 py                                        1.11.0        MIT License                                                      
 py-cpuinfo                                9.0.0         MIT License                                                      
 py-spy                                    0.4.2         MIT License                                                      
 pyotp                                     2.9.0         MIT License                                                      
 pyproject_hooks                           1.2.0         MIT License                                                      
 pyrate-limiter                            3.9.0         MIT License                                                      
 pytest                                    8.4.2         MIT License                                                      
 pytest-subtests                           0.7.0         MIT License                                                      
 python-jose                               3.5.0         MIT License                                                      
 radon                                     6.0.1         MIT License                                                      
 rfc3339-validator                         0.1.4         MIT License                                                      
 rich                                      14.2.0        MIT License                                                      
 ruamel.yaml                               0.19.1        MIT License                                                      
 ruff                                      0.14.13       MIT License                                                      
 safety-schemas                            0.0.16        MIT License                                                      
 simple-websocket                          1.1.0         MIT License                                                      
 six                                       1.17.0        MIT License                                                      
 slowapi                                   0.1.9         MIT License                                                      
 textual                                   8.2.7         MIT License                                                      
 tomli_w                                   1.2.0         MIT License                                                      
 tomlkit                                   0.15.0        MIT License                                                      
 typing-inspect                            0.9.0         MIT License                                                      
 tzlocal                                   5.3.1         MIT License                                                      
 uc-micro-py                               2.0.0         MIT License                                                      
 uri-template                              1.3.0         MIT License                                                      
 watchfiles                                1.1.1         MIT License                                                      
 tqdm                                      4.67.1        MIT License; Mozilla Public License 2.0 (MPL 2.0)                
 structlog                                 25.5.0        MIT OR Apache-2.0                                                
 pillow                                    12.0.0        MIT-CMU                                                          
 hypothesis                                6.150.2       MPL-2.0                                                          
 py-vapid                                  1.9.4         MPL-2.0                                                          
 pyttsx3                                   2.99          MPL-2.0                                                          
 pywebpush                                 2.3.0         MPL-2.0                                                          
 bidict                                    0.23.1        Mozilla Public License 2.0 (MPL 2.0)                             
 certifi                                   2026.1.4      Mozilla Public License 2.0 (MPL 2.0)                             
 fqdn                                      1.5.1         Mozilla Public License 2.0 (MPL 2.0)                             
 hypothesis-jsonschema                     0.23.1        Mozilla Public License 2.0 (MPL 2.0)                             
 pathspec                                  1.0.3         Mozilla Public License 2.0 (MPL 2.0)                             
 fastapi-limiter                           0.1.6         Other/Proprietary License                                        
 typing_extensions                         4.15.0        PSF-2.0                                                          
 aiohappyeyeballs                          2.6.1         Python Software Foundation License                               
 defusedxml                                0.7.1         Python Software Foundation License                               
 matplotlib                                3.10.8        Python Software Foundation License                               
 pywin32                                   311           Python Software Foundation License                               
 email-validator                           2.3.0         The Unlicense (Unlicense)                                        
 pypiwin32                                 223           UNKNOWN                                                          
 filelock                                  3.20.0        Unlicense                                                        
 zope.event                                6.2           ZPL-2.1                                                          
 zope.interface                            8.4           ZPL-2.1                                                          
